iter	Passed	Remaining
0	7	1457
1	13	1292
2	19	1256
3	25	1242
4	33	1301
5	39	1276
6	45	1251
7	50	1220
8	56	1197
9	63	1200
10	93	1612
11	101	1595
12	108	1567
13	114	1524
14	125	1542
15	132	1523
16	139	1496
17	145	1469
18	148	1412
19	154	1393
20	186	1585
21	192	1560
22	199	1536
23	206	1510
24	212	1489
25	249	1670
26	255	1638
27	261	1608
28	267	1578
29	273	1552
30	297	1623
31	303	1593
32	309	1566
33	315	1538
34	321	1514
35	332	1516
36	338	1492
37	341	1456
38	349	1442
39	356	1424
40	381	1479
41	387	1457
42	394	1439
43	401	1422
44	407	1404
45	413	1384
46	437	1425
47	444	1406
48	451	1389
49	457	1371
50	463	1352
51	480	1368
52	486	1348
53	492	1332
54	498	1314
55	504	1296
56	513	1287
57	518	1268
58	524	1253
59	530	1238
60	537	1224
61	543	1210
62	564	1227
63	571	1213
64	577	1199
65	583	1183
66	590	1171
67	596	1158
68	620	1178
69	627	1165
70	633	1151
71	639	1137
72	645	1123
73	661	1126
74	670	1117
75	676	1103
76	683	1091
77	690	1079
78	709	1086
79	715	1073
80	721	1059
81	726	1046
82	733	1033
83	740	1022
84	770	1042
85	776	1029
86	782	1016
87	788	1003
88	795	992
89	808	988
90	818	980
91	823	966
92	828	953
93	835	942
94	841	929
95	847	917
96	853	905
97	859	894
98	864	882
99	875	875
100	881	864
101	887	852
102	905	853
103	911	841
104	915	828
105	921	816
106	939	816
107	947	806
108	954	796
109	960	785
110	965	774
111	971	763
112	977	752
113	983	741
114	989	731
115	994	720
116	1001	710
117	1007	699
118	1013	689
119	1021	680
120	1031	673
121	1037	663
122	1042	652
123	1049	643
124	1054	632
125	1061	623
126	1067	613
127	1073	603
128	1078	593
129	1084	583
130	1089	573
131	1095	564
132	1101	554
133	1106	545
134	1112	535
135	1119	526
136	1126	518
137	1132	508
138	1137	499
139	1142	489
140	1150	481
141	1161	474
142	1167	465
143	1173	456
144	1180	447
145	1186	438
146	1191	429
147	1197	420
148	1203	411
149	1208	402
150	1214	394
151	1220	385
152	1227	377
153	1236	369
154	1243	361
155	1251	352
156	1257	344
157	1263	335
158	1269	327
159	1275	318
160	1281	310
161	1290	302
162	1296	294
163	1301	285
164	1307	277
165	1314	269
166	1325	261
167	1330	253
168	1337	245
169	1343	237
170	1349	228
171	1368	222
172	1375	214
173	1381	206
174	1388	198
175	1395	190
176	1401	182
177	1431	176
178	1441	169
179	1449	161
180	1457	152
181	1462	144
182	1478	137
183	1484	129
184	1490	120
185	1496	112
186	1503	104
187	1524	97
188	1553	90
189	1564	82
190	1570	74
191	1576	65
192	1583	57
193	1589	49
194	1596	40
195	1602	32
196	1609	24
197	1621	16
198	1629	8
199	1635	0
